RequestNo,RequestDate,RequestType,AssetFacilityType,CapexRequestAmount,RegionCode,BranchCode,BranchName,RequestBU,RequestFunction,IsBudgeted,BudgetRefNo,UserRemarks,CurrentStatus,LastActionDate,LastActionRemarks,LastActionRejectionReason,LastActionBy,AssetCategoryName,AssetItemName,VendorProcType,ItemCategory,ItemRatePerQtyForCentralProcItems,AssetItemQty,AssetItemRatePerQty,AssetAddlCharges,AssetAddlChargesRemarks,AssetItemAmount,AssetItemRemarks,VendorName,Vendor_RatePerQty,Vendor_TotalAmount,Vendor_DeliveryPeriod,Vendor_PaymentTerms,IsSelectedVendor
CPX-A/A/202526/0008,14-06-2025,Asset,Asset for New/Upgrade of facility,208913,A,A04,SURAT APEX - A04 (HO),Dom Exp,IT,Yes,FY25-26,Requirement of IT assets for New udhana branch(sur,Approved,19-06-2025,,,Authority - Puttarame Gowda ,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11) - OPS,Central,ITASSETS-OPS,2600,2,2600,0,,5200,Total approved qty by Ops Team is -5 no's - 3 no's,,0,0,,,
CPX-A/A/202526/0009,14-06-2025,Asset,Asset for New/Upgrade of facility,36500,A,A04,SURAT APEX - A04 (HO),Dom Exp,Ops through IT,Yes,FY25-26,Requirement of IT assets for New udhana branch(sur,Approved,26-06-2025,Approved under Ops IT Budget,,Authority - Sapna Anandkumar ,COMPUTER,Aruba 1930 24G POE Switch-NonOps,Central,ITASSETS-NONOPS,36500,1,36500,0,,36500,Requirement for new Udhana branch. Since not avail,,0,0,,,
CPX-A/A/202526/0010,17-06-2025,Asset,Asset for New/Upgrade of facility,4727808,A,A53,AHMEDABAD AIRPORT - A53 (HO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,APC 20KVA 3 Phase UPS with 65AH Batteries,Central,Operation,393984,12,393984,0,,4727808,test,,0,0,,,
CPX-A/A/202526/0011,17-06-2025,Asset,Asset for New/Upgrade of facility,4727808,A,A24,AHMEDABAD BRANCH - A24 (BO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,APC 20KVA 3 Phase UPS with 65AH Batteries,Central,Operation,393984,12,393984,0,,4727808,test,,0,0,,,
CPX-A/A/202526/0012,17-06-2025,Asset,Asset for New/Upgrade of facility,4727808,A,A24,AHMEDABAD BRANCH - A24 (BO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,APC 20KVA 3 Phase UPS with 65AH Batteries,Central,Operation,393984,12,393984,0,,4727808,test,,0,0,,,
CPX-A/A/202526/0013,17-06-2025,Asset,Asset for New/Upgrade of facility,134696,A,A24,AHMEDABAD BRANCH - A24 (BO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,3 KVA UPS upto 1 Hr Backup (APC SRC3KUXI-IN),Central,Operation,67348,2,67348,0,,134696,test,,0,0,,,
CPX-A/A/202526/0014,17-06-2025,Asset,Asset for New/Upgrade of facility,1674308,A,A02,BARODA BRANCH - A02 (BO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,3 KVA UPS upto 2 Hrs Backup (APC SRC3KUXI-IN),Central,Operation,72796,23,72796,0,,1674308,test,,0,0,,,
CPX-A/A/202526/0015,17-06-2025,Asset,Asset for New/Upgrade of facility,2939640,A,A24,AHMEDABAD BRANCH - A24 (BO),Dom Exp,Ops,No,,Test,Rejected,17-06-2025,Rejected,Others,Authority - Lokesh Wadhwa ,COMPUTER,10 KVA UPS upto 2 Hrs Backup (APC SRC10KUXI-IN),Central,Operation,244970,12,244970,0,,2939640,test,,0,0,,,
CPX-A/A/202526/0016,17-06-2025,Asset,Asset for New/Upgrade of facility,808176,A,A24,AHMEDABAD BRANCH - A24 (BO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,3 KVA UPS upto 1 Hr Backup (APC SRC3KUXI-IN),Central,Operation,67348,12,67348,0,,808176,test,,0,0,,,
CPX-A/A/202526/0017,17-06-2025,Asset,Asset for New/Upgrade of facility,2939640,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,10 KVA UPS upto 2 Hrs Backup (APC SRC10KUXI-IN),Central,Operation,244970,12,244970,0,,2939640,test,,0,0,,,
CPX-A/A/202526/0018,17-06-2025,Asset,Asset for New/Upgrade of facility,687972,A,A53,AHMEDABAD AIRPORT - A53 (HO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,2 KVA UPS upto 2 Hrs Backup (APC SRC2KUXI-IN),Central,Operation,57331,12,57331,0,,687972,test,,0,0,,,
CPX-A/A/202526/0019,17-06-2025,Asset,Asset for New/Upgrade of facility,687972,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Ops,No,,this for testing purpose please don't approve it,Rejected,17-06-2025,,,User - Narendra Maharana ,COMPUTER,2 KVA UPS upto 2 Hrs Backup (APC SRC2KUXI-IN),Central,Operation,57331,12,57331,0,,687972,test,,0,0,,,
CPX-A/A/202526/0020,17-06-2025,Asset,Asset for New/Upgrade of facility,2939640,A,A53,AHMEDABAD AIRPORT - A53 (HO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,10 KVA UPS upto 2 Hrs Backup (APC SRC10KUXI-IN),Central,Operation,244970,12,244970,0,,2939640,test,,0,0,,,
CPX-A/A/202526/0021,17-06-2025,Asset,Asset for New/Upgrade of facility,2939640,A,A24,AHMEDABAD BRANCH - A24 (BO),Dom Exp,Ops,No,,test,Rejected,17-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,10 KVA UPS upto 2 Hrs Backup (APC SRC10KUXI-IN),Central,Operation,244970,12,244970,0,,2939640,test,,0,0,,,
CPX-A/A/202526/0022,18-06-2025,Asset,Asset for New/Upgrade of facility,687972,A,A24,AHMEDABAD BRANCH - A24 (BO),Dom Exp,Ops,No,,test,Rejected,18-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,2 KVA UPS upto 2 Hrs Backup (APC SRC2KUXI-IN),Central,Operation,57331,12,57331,0,,687972,test,,0,0,,,
CPX-A/A/202526/0023,18-06-2025,Asset,Asset for New/Upgrade of facility,2939640,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Ops,No,,test,Rejected,18-06-2025,,,User - PRADEEP VUPPALA ,COMPUTER,10 KVA UPS upto 2 Hrs Backup (APC SRC10KUXI-IN),Central,Operation,244970,12,244970,0,,2939640,test,,0,0,,,
CPX-A/A/202526/0024,09-07-2025,Asset,Asset for New/Upgrade of facility,198880,A,A03,RAJKOT BRANCH - A03 (BO),Dom Exp,Ops,Yes,FY25-26,To ensure the Rajkot Branch operates smoothly duri,Approved,09-07-2025,,,User - Hemavathi Kumar ,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,8,24860,0,,198880,To ensure the Rajkot Branch operates smoothly duri,,0,0,,,
CPX-A/A/202526/0025,21-07-2025,Asset,Asset for New/Upgrade of facility,9050,A,A11,KHOKHRA BRANCH - A11 (BO),Dom Exp,Ops,No,,Hard disc of Khokra branch is faulty. Due to that ,Approved,28-07-2025,,,User - Nilambar Sahu ,OFFICE EQUIPMENTS,CCTV Component,Local,Vigilance,0,1,9050,0,,9050,Hard disc of Khokra branch is faulty. Due to that ,VC Tech,9050,9050,15,30,Yes
CPX-A/A/202526/0025,21-07-2025,Asset,Asset for New/Upgrade of facility,9050,A,A11,KHOKHRA BRANCH - A11 (BO),Dom Exp,Ops,No,,Hard disc of Khokra branch is faulty. Due to that ,Approved,28-07-2025,,,User - Nilambar Sahu ,OFFICE EQUIPMENTS,CCTV Component,Local,Vigilance,0,1,9050,0,,9050,Hard disc of Khokra branch is faulty. Due to that ,VC Tech,9050,9050,15,30,-
CPX-A/A/202526/0025,21-07-2025,Asset,Asset for New/Upgrade of facility,9050,A,A11,KHOKHRA BRANCH - A11 (BO),Dom Exp,Ops,No,,Hard disc of Khokra branch is faulty. Due to that ,Approved,28-07-2025,,,User - Nilambar Sahu ,OFFICE EQUIPMENTS,CCTV Component,Local,Vigilance,0,1,9050,0,,9050,Hard disc of Khokra branch is faulty. Due to that ,VC Tech,9050,9050,15,30,-
CPX-A/A/202526/0026,21-08-2025,Asset,Asset for New/Upgrade of facility,10682,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Ops,Yes,FY 2025-26,Slotted Angle Racks for Aslali OSC,Approved,22-08-2025,,,User - Nirmal Jha ,PLANT & MACHINERY,Slotted Angle Racks,Local,Operation,0,2,4900,882,GST,10682,Slotted Angle Racks for Aslali OSC,JD INDUSTRIES,4900,10682,15 Days,50% Payment upon release of Purchase Order;50% Pay,Yes
CPX-A/A/202526/0026,21-08-2025,Asset,Asset for New/Upgrade of facility,10682,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Ops,Yes,FY 2025-26,Slotted Angle Racks for Aslali OSC,Approved,22-08-2025,,,User - Nirmal Jha ,PLANT & MACHINERY,Slotted Angle Racks,Local,Operation,0,2,4900,882,GST,10682,Slotted Angle Racks for Aslali OSC,SHRUDHIT STORAGE SYSTEM,5900,12862,15 Days,50% Payment upon release of Purchase Order;50% Pay,-
CPX-A/A/202526/0026,21-08-2025,Asset,Asset for New/Upgrade of facility,10682,A,A01,AHMEDABAD APEX - A01 (HO),Dom Exp,Ops,Yes,FY 2025-26,Slotted Angle Racks for Aslali OSC,Approved,22-08-2025,,,User - Nirmal Jha ,PLANT & MACHINERY,Slotted Angle Racks,Local,Operation,0,2,4900,882,GST,10682,Slotted Angle Racks for Aslali OSC,Space Saver storage system,6500,14170,15 Days,50% Payment upon release of Purchase Order;50% Pay,-
CPX-A/B/202526/0012,01-04-2025,Asset,Asset for other reasons,94415,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY24-25,"Reraising Capex Against CPX-A/N/202425/0099, Reque",Approved,05-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,15" MACBOOK AIR M4 16GB 256GB,Central,IT-ASSETS-OTHERS,94415,1,94415,0,,94415,"Reraising Capex againt CPX-A/N/202425/0099, Reques",,0,0,,,
CPX-A/B/202526/0013,04-04-2025,Asset,Asset for New/Upgrade of facility,284800,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 24-25,The special approval from CEO,Approved,05-04-2025,,,Authority - Aneel Gambhir ,SOFTWARE,DOMESTIC MARKETPLACE MVP - DEVELOPMENT (BAZAAR),Central,ITAPP,284800,1,284800,0,,284800,The special approval from CEO,,0,0,,,
CPX-A/B/202526/0014,10-04-2025,Asset,Asset for other reasons,93140,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Channel,Yes,FY25-26,Name : Not yet Decided Grade: MM Designation: Not ,Approved,12-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,LAPTOP - MM,Central,IT-ASSETS-OTHERS,46570,2,46570,0,,93140,Name : Not yet Decided Grade: MM Designation: Not ,,0,0,,,
CPX-A/B/202526/0015,11-04-2025,Asset,Asset for New/Upgrade of facility,90910,B,B07,CHAMRAJPET BRANCH - B07 (BO),Dom Exp,CS,No,,Requesting Desktop for 2 additional positions for ,Approved,22-04-2025,,,Authority - Abhishek Chakraborty   ,COMPUTER,Desktop / PC (Dell/Lenovo/HP)-Non-Ops,Central,ITASSETS-NONOPS,45455,2,45455,0,,90910,Requesting Desktop for 2 additional positions for ,,0,0,,,
CPX-A/B/202526/0016,11-04-2025,Asset,Asset for other reasons,52500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,Approved,21-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,TVS 2D BARCODE SCANNERS,Central,ITASSETS-OPS,3500,15,3500,0,,52500,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,,0,0,,,
CPX-A/B/202526/0017,12-04-2025,Asset,Asset for other reasons,585000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY25-26 ,cAPEX FOR PROJECTS AND eNGINEERING TEAM Linux Deve,Approved,21-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,HP ZBOOK FIREFLY 16 G11,Central,IT-ASSETS-OTHERS,117000,5,117000,0,,585000,cAPEX FOR PROJECTS AND eNGINEERING TEAM Linux Deve,,0,0,,,
CPX-A/B/202526/0018,12-04-2025,Asset,Asset for other reasons,188830,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY25-26 ,Raising for projects and Engineering team and same,Approved,21-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,15" MACBOOK AIR M4 16GB 256GB,Central,IT-ASSETS-OTHERS,94415,2,94415,0,,188830,Raising for projects and Engineering team and same,,0,0,,,
CPX-A/B/202526/0019,12-04-2025,Asset,Asset for other reasons,349500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY25-26 ,Raising for projects and Engineering team Windows ,Approved,21-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,HP ZBOOK FIREFLY 16 G11- U7/32GB/1TB/4GB,Central,IT-ASSETS-OTHERS,116500,3,116500,0,,349500,Raising for projects and Engineering team Windows ,,0,0,,,
CPX-A/B/202526/0020,16-04-2025,Asset,Asset for other reasons,46570,B,B07,CHAMRAJPET BRANCH - B07 (BO),Dom Exp,Sales,Yes,FY25-26,Name : Priyanka Chourasia Grade: MM Designation: K,Approved,23-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,LAPTOP - MM,Central,IT-ASSETS-OTHERS,46570,1,46570,0,,46570,Name : Priyanka Chourasia Grade: MM Designation: K,,0,0,,,
CPX-A/B/202526/0021,16-04-2025,Asset,Asset for New/Upgrade of facility,60000,B,B63,RAICHUR SORTING OFFICE - B63 (SO),Dom Exp,IT,No,,This CAPEX is raised for the installation of a CCT,Approved,18-06-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,CCTV - BRANCH,Central,VIGILANCE,12000,5,12000,0,,60000,This CAPEX is raised for the installation of a CCT,,0,0,,,
CPX-A/B/202526/0022,18-04-2025,Asset,Asset for New/Upgrade of facility,46570,B,B07,CHAMRAJPET BRANCH - B07 (BO),Dom Exp,Ops,Yes,1,Name: Sreejil PS   Department: Operations  Designa,Approved,04-06-2025,,,Authority - Aneel Gambhir ,COMPUTER,LAPTOP - MM,Central,IT-ASSETS-OTHERS,46570,1,46570,0,,46570,"Its an Additional position hired, requesting for l",,0,0,,,
CPX-A/B/202526/0023,22-04-2025,Asset,Asset for other reasons,702000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY25-26 TechPro,Rasing on behalf of Corp HR-Team. Laptop for DTDC ,Approved,24-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,HP ZBOOK FIREFLY 16 G11,Central,IT-ASSETS-OTHERS,117000,6,117000,0,,702000,"Laptop for DTDC Bazar,Platformand Rapid Commerce  ",,0,0,,,
CPX-A/B/202526/0024,22-04-2025,Asset,Asset for other reasons,466000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26TechPro,Raising on behalf of Corp HR-team Laptops for Tech,Approved,24-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,HP ZBOOK FIREFLY 16 G11- U7/32GB/1TB/4GB,Central,IT-ASSETS-OTHERS,116500,4,116500,0,,466000,Raising on behalf of Corp HR-team Laptops for Tech,,0,0,,,
CPX-A/B/202526/0025,22-04-2025,Asset,Asset for other reasons,349500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26TechPro,Budgeted un technology budget and  Raising on beha,Approved,24-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,HP ZBOOK FIREFLY 16 G11- U7/32GB/1TB/4GB,Central,IT-ASSETS-OTHERS,116500,3,116500,0,,349500,"Raising on behalf of Corp HR-Team, Laptop request ",,0,0,,,
CPX-A/B/202526/0026,23-04-2025,Asset,Asset for New/Upgrade of facility,156760,B,B07,CHAMRAJPET BRANCH - B07 (BO),Dom Exp,Sales,Yes,1,"Additional Positions For Ecom, Approval received f",Approved,14-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,LAPTOP - JM,Central,IT-ASSETS-OTHERS,39190,4,39190,0,,156760,"requesting 4 Additional Laptop for E-com team, App",,0,0,,,
CPX-A/B/202526/0027,24-04-2025,Asset,Asset for New/Upgrade of facility,289000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 24-25,Mobiopps Change Request/Man day on actuals : Rs.10,Approved,25-04-2025,,,Authority - Aneel Gambhir ,SOFTWARE,NETIAPPS CHANGE REQUEST,Local,ITAPP,0,289,1000,0,,289000,Mobiopps Change Request/Man day on actuals : Rs.10,NETIAPPS SOFTWARE PVT LTD,1000,289000,,,Yes
CPX-A/B/202526/0027,24-04-2025,Asset,Asset for New/Upgrade of facility,289000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 24-25,Mobiopps Change Request/Man day on actuals : Rs.10,Approved,25-04-2025,,,Authority - Aneel Gambhir ,SOFTWARE,NETIAPPS CHANGE REQUEST,Local,ITAPP,0,289,1000,0,,289000,Mobiopps Change Request/Man day on actuals : Rs.10,NETIAPPS SOFTWARE PVT LTD,1000,289000,,,-
CPX-A/B/202526/0027,24-04-2025,Asset,Asset for New/Upgrade of facility,289000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 24-25,Mobiopps Change Request/Man day on actuals : Rs.10,Approved,25-04-2025,,,Authority - Aneel Gambhir ,SOFTWARE,NETIAPPS CHANGE REQUEST,Local,ITAPP,0,289,1000,0,,289000,Mobiopps Change Request/Man day on actuals : Rs.10,NETIAPPS SOFTWARE PVT LTD,1000,289000,,,-
CPX-A/B/202526/0028,24-04-2025,Asset,Asset for other reasons,255932,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY25-26TechProj,"Raising on behalf of HR-Team, Macbook high compute",Approved,25-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,14" APPLE MACBOOK PRO M4 16GB 512GB,Central,IT-ASSETS-OTHERS,127966,2,127966,0,,255932,"Raising this capex on behalf of HR-team, It alread",,0,0,,,
CPX-A/B/202526/0029,25-04-2025,Asset,Asset for New/Upgrade of facility,136365,B,B07,CHAMRAJPET BRANCH - B07 (BO),Dom Exp,CS,Yes,1,"3 Desktop to be allocated, for Additional hiring, ",Approved,14-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,Desktop / PC (Dell/Lenovo/HP)-Non-Ops,Central,ITASSETS-NONOPS,45455,3,45455,0,,136365,"Requesting  3 Additional Desktop for CSS team, App",,0,0,,,
CPX-A/B/202526/0030,28-04-2025,Asset,Asset for New/Upgrade of facility,48000,B,B41,BAGALKOT SORTING OFFICE - B41 (SO),Dom Exp,IT,No,,This CAPEX is being raised for the procurement and,Approved,14-05-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,CCTV - BRANCH,Central,VIGILANCE,12000,4,12000,0,,48000,This CAPEX is being raised for the procurement and,,0,0,,,
CPX-A/B/202526/0031,28-04-2025,Asset,Asset for New/Upgrade of facility,248000,B,B10,BANGALORE YELAHANKA APEX - B10 (HO),Dom Exp,IT,No,,This CAPEX is being raised for the procurement and,Approved,10-06-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,CCTV-HUB,Central,VIGILANCE,15500,16,15500,0,,248000,This CAPEX is being raised for the procurement and,,0,0,,,
CPX-A/B/202526/0032,29-04-2025,Asset,Asset for New/Upgrade of facility,122500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Sales,Yes,FY25,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,Sent for Approval,29-04-2025,,,User - Gagandeep lssar ,COMPUTER,TVS 2D BARCODE SCANNERS,Central,ITASSETS-OPS,3500,35,3500,0,,122500,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,,0,0,,,
CPX-A/B/202526/0033,29-04-2025,Asset,Asset for New/Upgrade of facility,122500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Sales,Yes,FY25,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,Sent for Approval,29-04-2025,,,User - Gagandeep lssar ,COMPUTER,TVS 2D BARCODE SCANNERS,Central,ITASSETS-OPS,3500,35,3500,0,,122500,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,,0,0,,,
CPX-A/B/202526/0034,29-04-2025,Asset,Asset for New/Upgrade of facility,122500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Sales,Yes,FY25,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,Sent for Approval,29-04-2025,,,User - Gagandeep lssar ,COMPUTER,TVS 2D BARCODE SCANNERS,Central,ITASSETS-OPS,3500,35,3500,0,,122500,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,,0,0,,,
CPX-A/B/202526/0035,29-04-2025,Asset,Asset for New/Upgrade of facility,122500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Sales,Yes,FY25,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,TVS 2D BARCODE SCANNERS,Central,ITASSETS-OPS,3500,35,3500,0,,122500,Unbudgeted. Requirement for Paytm - PUDO (Drop-Off,,0,0,,,
CPX-A/B/202526/0036,07-05-2025,Asset,Asset for other reasons,128909,B,B35,WHITE FIELD BRANCH - B35 (BO),Dom Exp,Ops through IT,Yes,FY 25-26,"Below mention ups is issue with Main PCB faulty, a",Approved,11-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,6 KVA UPS with 1 Hr Backup (APC SRCE6KUXI-IN)-Ops,Central,ITASSETS-OPS,128909,1,128909,0,,128909,"Below mention ups is issue with Main PCB faulty, a",,0,0,,,
