RequestNo,RequestDate,RequestType,AssetFacilityType,CapexRequestAmount,RegionCode,BranchCode,BranchName,Zone,Region,RequestBU,RequestFunction,IsBudgeted,BudgetRefNo,UserRemarks,CurrentStatus,LastActionDate,LastActionRemarks,LastActionRejectionReason,LastActionBy,AssetCategoryName,AssetCategoryName_2,AssetItemName,VendorProcType,ItemCategory,ItemRatePerQtyForCentralProcItems,AssetItemQty,AssetItemRatePerQty,AssetAddlCharges,AssetAddlChargesRemarks,AssetItemAmount,AssetItemRemarks,VendorName,Vendor_RatePerQty,Vendor_TotalAmount,Vendor_DeliveryPeriod,Vendor_PaymentTerms,IsSelectedVendor
CPX-A/B/202526/0119,08-07-2025,Asset,Asset for New/Upgrade of facility,335083,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,MHE- IT assets requirement for New RR Nagar Facili,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,Aruba AP-505 (RW) Unified AP,Central,IT-Hardware,31372,1,31372,0,,31372,"Requirment of AP , raised as per approval",,0,0,,,
CPX-A/B/202526/0119,08-07-2025,Asset,Asset for New/Upgrade of facility,335083,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,MHE- IT assets requirement for New RR Nagar Facili,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,2,14411,0,,28822,"Requirement for Thermal printer, raised for approv",,0,0,,,
CPX-A/B/202526/0119,08-07-2025,Asset,Asset for New/Upgrade of facility,335083,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,MHE- IT assets requirement for New RR Nagar Facili,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11),Central,IT-Hardware,2600,2,2600,0,,5200,"Requirement of Barcode Scanner, raised for approve",,0,0,,,
CPX-A/B/202526/0119,08-07-2025,Asset,Asset for New/Upgrade of facility,335083,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,MHE- IT assets requirement for New RR Nagar Facili,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,3,24860,0,,74580,"Requirement of HHT , rasied for approved Qty",,0,0,,,
CPX-A/B/202526/0119,08-07-2025,Asset,Asset for New/Upgrade of facility,335083,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,MHE- IT assets requirement for New RR Nagar Facili,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,Aruba 1930 24G POE Switch,Central,IT-Hardware,36500,1,36500,0,,36500,"24 Port Network Switch requirement , raised as per",,0,0,,,
CPX-A/B/202526/0119,08-07-2025,Asset,Asset for New/Upgrade of facility,335083,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,MHE- IT assets requirement for New RR Nagar Facili,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,HP 136nw Printer (MFP),Central,IT-Hardware,16907,1,16907,0,,16907,Requirement of Laser printer ,,0,0,,,
CPX-A/B/202526/0119,08-07-2025,Asset,Asset for New/Upgrade of facility,335083,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,MHE- IT assets requirement for New RR Nagar Facili,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,6,23617,0,,141702,Requirement of Desktops for RR NAAGR facility,,0,0,,,
CPX-A/B/202526/0121,09-07-2025,Asset,Asset for New/Upgrade of facility,98984.5,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"MHE requirement for New RR nagar facility, conside",Approved,09-07-2025,,,User - Gagandeep lssar ,COMPUTER,COMPUTER,3 KVA UPS upto 1 Hr Backup (APC SRC3KUXI-IN),Central,Operation,67348,1,67348,0,,67348,"Requirement of UPS , raised as per approved qty ",,0,0,,,
CPX-A/B/202526/0121,09-07-2025,Asset,Asset for New/Upgrade of facility,98984.5,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"MHE requirement for New RR nagar facility, conside",Approved,09-07-2025,,,User - Gagandeep lssar ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 150 kgs (Essae),Central,Operation,14794.5,1,14794.5,0,,14794.5,"Requitement of weighing machine , raised as per ap",,0,0,,,
CPX-A/B/202526/0121,09-07-2025,Asset,Asset for New/Upgrade of facility,98984.5,B,B120,RAJAJESHWARINAGAR BRANCH - B120 (BO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"MHE requirement for New RR nagar facility, conside",Approved,09-07-2025,,,User - Gagandeep lssar ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 35 kgs (Essae),Central,Operation,8421,2,8421,0,,16842,"Requirement of weighing machine , raised as per ap",,0,0,,,
CPX-A/B/202526/0124,12-07-2025,Asset,Asset for other reasons,16706312,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"Pan India  OPS IT assets Tech refreshment FY'26, C",Approved,15-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,49,14411,0,,706139,"OPS IT -Tech refresh FY'26, Raised for the cost , ",,0,0,,,
CPX-A/B/202526/0124,12-07-2025,Asset,Asset for other reasons,16706312,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"Pan India  OPS IT assets Tech refreshment FY'26, C",Approved,15-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITHOUT BLUETOOTH),Central,IT-Hardware,11011,145,11011,0,,1596595,"OPS IT Tech refresh FY'26, Raised for the cost , a",,0,0,,,
CPX-A/B/202526/0124,12-07-2025,Asset,Asset for other reasons,16706312,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"Pan India  OPS IT assets Tech refreshment FY'26, C",Approved,15-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11),Central,IT-Hardware,2600,192,2600,0,,499200,"OPS IT - Tech refresh FY'26, Raised for the cost ,",,0,0,,,
CPX-A/B/202526/0124,12-07-2025,Asset,Asset for other reasons,16706312,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"Pan India  OPS IT assets Tech refreshment FY'26, C",Approved,15-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,Wireless Barcode Scanner (Zebra LI4278),Central,IT-Hardware,12340,64,12340,0,,789760,"OPS IT - Tech refresh FY'26, Raised for the cost ,",,0,0,,,
CPX-A/B/202526/0124,12-07-2025,Asset,Asset for other reasons,16706312,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"Pan India  OPS IT assets Tech refreshment FY'26, C",Approved,15-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,399,24860,0,,9919140,"OPS IT Tech refresh FY'26, Raised for the cost , a",,0,0,,,
CPX-A/B/202526/0124,12-07-2025,Asset,Asset for other reasons,16706312,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"Pan India  OPS IT assets Tech refreshment FY'26, C",Approved,15-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,HP 136nw Printer (MFP),Central,IT-Hardware,16907,101,16907,0,,1707607,"OPS IT Tech refresh FY'26, Raise for the cost , as",,0,0,,,
CPX-A/B/202526/0124,12-07-2025,Asset,Asset for other reasons,16706312,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"Pan India  OPS IT assets Tech refreshment FY'26, C",Approved,15-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,63,23617,0,,1487871,"Ops IT Tech refresh FY'26, Raised for the cost , a",,0,0,,,
CPX-A/B/202526/0125,12-07-2025,Asset,Asset for other reasons,3511557,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,"Pan India OPS IT assets Tech refreshment FY'26, Ce",Approved,12-07-2025,,,User - Sapna Anandkumar ,PLANT & MACHINERY,COMPUTER,Weighing Machine - 35 kgs (Essae),Central,Operation,8421,417,8421,0,,3511557,"Pan India OPS IT assets Tech refreshment FY'26, Ce",,0,0,,,
CPX-A/B/202526/0140,23-07-2025,Asset,Asset for New/Upgrade of facility,289138,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,For the requirement of India POST launch in the re,Approved,23-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,2,14411,0,,28822,For the requirement of India POST launch chattisga,,0,0,,,
CPX-A/B/202526/0140,23-07-2025,Asset,Asset for New/Upgrade of facility,289138,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,For the requirement of India POST launch in the re,Approved,23-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11),Central,IT-Hardware,2600,4,2600,0,,10400,For the requirement of India POST launch Odhisha &,,0,0,,,
CPX-A/B/202526/0140,23-07-2025,Asset,Asset for New/Upgrade of facility,289138,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,For the requirement of India POST launch in the re,Approved,23-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,Wireless Barcode Scanner (Zebra LI4278),Central,IT-Hardware,12340,2,12340,0,,24680,For the requirement of India POST launch Odhisha &,,0,0,,,
CPX-A/B/202526/0140,23-07-2025,Asset,Asset for New/Upgrade of facility,289138,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,For the requirement of India POST launch in the re,Approved,23-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,2,24860,0,,49720,For the requirement of India POST launch Odhisha &,,0,0,,,
CPX-A/B/202526/0140,23-07-2025,Asset,Asset for New/Upgrade of facility,289138,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,For the requirement of India POST launch in the re,Approved,23-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,HP 136nw Printer (MFP),Central,IT-Hardware,16907,2,16907,0,,33814,For the requirement of India POST launch Odhisha &,,0,0,,,
CPX-A/B/202526/0140,23-07-2025,Asset,Asset for New/Upgrade of facility,289138,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY25-26,For the requirement of India POST launch in the re,Approved,23-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,6,23617,0,,141702,For the requirement of India POST launch Odhisha &,,0,0,,,
CPX-A/B/202526/0144,28-07-2025,Asset,Asset for other reasons,118085,B,B07,CHAMRAJPET BRANCH - B07 (BO),South,BLR,Dom Exp,Ops,Yes,fy 25-26,Requirement for new employees @ Neelamangala ware ,Approved,06-08-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,5,23617,0,,118085,Requirement for new employees @ Neelamangala ware ,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,14,14411,0,,201754,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11),Central,IT-Hardware,2600,14,2600,0,,36400,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,Wireless Barcode Scanner (Zebra LI4278),Central,IT-Hardware,12340,7,12340,0,,86380,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,7,24860,0,,174020,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,HP 136nw Printer (MFP),Central,IT-Hardware,16907,7,16907,0,,118349,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,21,23617,0,,495957,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0148,30-07-2025,Asset,Asset for other reasons,5296500,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,IT,Yes,fy 25-26,Pan India OPS IT assets Tech refreshment FY'26.Cen,Approved,30-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,ARUBA 2930F 24G 4SFP SWITCH (NON POE),Central,IT-Hardware,26500,81,26500,0,,2146500,Refreshment of L2 switches to L3 switches Phase 1,,0,0,,,
CPX-A/B/202526/0148,30-07-2025,Asset,Asset for other reasons,5296500,B,B15,CORPORATE OFFICE APEX - B15 (RO),South,BLR,Dom Exp,IT,Yes,fy 25-26,Pan India OPS IT assets Tech refreshment FY'26.Cen,Approved,30-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,ARUBA 2930F 24G POE+ 4SFP SWITCH,Central,IT-Hardware,31500,100,31500,0,,3150000,Refreshment of L3 switches Phase 1,,0,0,,,
CPX-A/B/202526/0149,30-07-2025,Asset,Asset for other reasons,57331,B,B18,HASSAN BRANCH - B18 (BO),South,BLR,Dom Exp,Ops through IT,Yes,fy 25-26,"Existing UPS is obsolete model and unsupported, cr",Approved,30-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,2 KVA UPS upto 2 Hrs Backup (APC SRC2KUXI-IN),Central,Operation,57331,1,57331,0,,57331,"Existing UPS is obsolete model and unsupported, cr",,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),South,CHE,Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,2,14411,0,,28822,Additional Requirement for INDIA POST Launch TN fr,,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),South,CHE,Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11),Central,IT-Hardware,2600,2,2600,0,,5200,Additonal rquirement for INDIA POST Launch TN from,,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),South,CHE,Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,Wireless Barcode Scanner (Zebra LI4278),Central,IT-Hardware,12340,1,12340,0,,12340,Additional Requirement for INDIA POST Launch TN fr,,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),South,CHE,Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,HP 136nw Printer (MFP),Central,IT-Hardware,16907,1,16907,0,,16907,Additonal rquirement for INDIA POST Launch TN from,,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),South,CHE,Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,3,23617,0,,70851,Additional Requirement for INDIA POST Launch in TN,,0,0,,,
CPX-A/E/202526/0005,05-05-2025,Asset,Asset for New/Upgrade of facility,81251,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,IT,Yes,FY 25-26,Landlord work scope Coimbatore New Hub Budgeted un,Approved,14-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11) - OPS,Central,ITASSETS-OPS,2600,4,2600,0,,10400,Landlord work scope Coimbatore New Hub Budgeted Un,,0,0,,,
CPX-A/E/202526/0005,05-05-2025,Asset,Asset for New/Upgrade of facility,81251,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,IT,Yes,FY 25-26,Landlord work scope Coimbatore New Hub Budgeted un,Approved,14-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,THINCLIENT - OPS,Central,ITASSETS-OPS,23617,3,23617,0,,70851,Landlord work scope Coimbatore New Hub Budgeted un,,0,0,,,
CPX-A/E/202526/0006,05-05-2025,Asset,Asset for New/Upgrade of facility,60140,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,IT,Yes,FY 25-26,Landlord work scope Coimbatore New Hub budgeted un,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,HP 136nw Printer (MFP)-Ops,Central,ITASSETS-OPS,16907,1,16907,0,,16907,Landlord work scope Coimbatore New Hub Budgeted un,,0,0,,,
CPX-A/E/202526/0006,05-05-2025,Asset,Asset for New/Upgrade of facility,60140,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,IT,Yes,FY 25-26,Landlord work scope Coimbatore New Hub budgeted un,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH) - OPS,Central,ITASSETS-OPS,14411,3,14411,0,,43233,Landlord work scope Coimbatore New Hub budgeted un,,0,0,,,
CPX-A/E/202526/0007,05-05-2025,Asset,Asset for New/Upgrade of facility,228349,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,IT,Yes,FY 25-26,Landlord work scope Coimbatore New Hub Budgeted Un,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,6 KVA UPS with 1 Hr Backup (APC SRCE6KUXI-IN)-Ops,Central,ITASSETS-OPS,128909,1,128909,0,,128909,Landlord work scope Coimbatore New Hub Budgeted Un,,0,0,,,
CPX-A/E/202526/0007,05-05-2025,Asset,Asset for New/Upgrade of facility,228349,E,E01,COIMBATORE APEX - E01 (HO),South,CJB,Dom Exp,IT,Yes,FY 25-26,Landlord work scope Coimbatore New Hub Budgeted Un,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI- OPS,Central,ITASSETS-OPS,24860,4,24860,0,,99440,Landlord work scope Coimbatore New Hub Budgeted un,,0,0,,,
